zip,population,borough,pct_hispanic_or_latino,pct_asian,pct_american_indian_and_alaska_native,pct_black_or_african_american,pct_white,pct_native_hawaiian_and_other_pacific_islander,pct_some_other_race,pct_two_or_more_races,pct_below_poverty
11428,18836,QUEENS,25.18,25.85,0.14,20.48,10.65,0,9.04,8.65,7.64
11428,18836,BROOKLYN,25.18,25.85,0.14,20.48,10.65,0,9.04,8.65,7.64
11362,18343,QUEENS,10.58,41.69,0,2.97,42.33,0,0.17,2.26,6.03
10302,18037,STATEN ISLAND,38.92,9.17,0.06,20.83,28.73,0.01,0.89,1.38,16.88
11575,17180,QUEENS,38.68,0.88,0.01,57.43,1.86,0,0.27,0.86,10.68
10017,15846,MANHATTAN,5.18,21.29,0,1.98,69.51,0,0.52,1.52,6.49
10470,15716,BRONX,18.82,2.95,0,40.53,35.52,0,0.75,1.44,12.5
11004,15098,QUEENS,11.81,42.98,0.5,6.14,33.51,0.34,0.72,4,6.06
10307,14906,STATEN ISLAND,10.02,4.49,0.13,0.42,84.43,0,0,0.5,4.67
11366,14360,QUEENS,11.15,43.55,0,5.36,37.42,0,0,2.51,11.54
11693,12944,QUEENS,29.45,4.41,0,18.36,44.59,0,1.78,1.41,14.34
11239,12772,BROOKLYN,18.35,3.71,0.52,56.44,20.3,0,0,0.67,24.84
10044,12440,MANHATTAN,12.89,34.28,0,11.95,37.56,0,0.14,3.18,10.56
10474,12179,BRONX,62.35,0.17,0.1,35.4,1.54,0,0.38,0.07,47.9
10280,9496,MANHATTAN,11.36,16.28,0,2.49,65.8,0,0,4.08,4.87
10018,8806,MANHATTAN,16.07,27.5,0,4.86,48.42,0,0.58,2.57,14.16
10005,8701,MANHATTAN,6.34,17.73,0,1.06,71.67,0,0,3.2,9.46
11024,7786,BROOKLYN,11.01,6.08,0,1.5,79.55,0,0,1.86,5.86
10007,7408,MANHATTAN,11.69,10.27,0,7.82,68.35,0,0,1.88,2.16
11363,7096,QUEENS,12.7,33.67,0,1.75,49.15,0,0.18,2.55,6.96
10069,6051,MANHATTAN,3.78,28.95,0,2.41,60.98,0,0,3.87,9.25
11109,5980,QUEENS,6.42,30.35,0,0.57,58.95,0,0.57,3.14,2.81
10282,5783,MANHATTAN,6.62,19.89,0,0.99,68.91,0,0.24,3.35,2.33
11514,4694,STATEN ISLAND,16.74,9.65,0,2.85,64.4,0,5.05,1.3,7.01
10464,4531,BRONX,42.02,5.01,0,0.02,52.5,0,0.44,0,7.11
10004,3335,MANHATTAN,3.24,29.06,0,3.96,59.28,0.51,1.05,2.91,1.32
10006,3092,MANHATTAN,10.83,16.04,0,3.2,64.52,0,1.68,3.72,3.36
10162,1486,MANHATTAN,12.38,4.85,0,0,79.48,0,0,3.3,0
11430,206,QUEENS,33.01,2.91,0,59.22,4.85,0,0,0,72.77
